title,singer
爱,
春,
风,
枫,
光,
蓝,
宠,
默,
门,
爱错,
白鸽,
背叛,
错过,
笔记,
直播,
大鱼,
红豆,
后来,
倒带,
倒数,
冬眠,
冻结,
房间,
放纵,
风衣,
摇滚,
故梦,
归零,
过火,
过敏,
花落,
花海,
花瓣,
流年,
画心,
路口,
绿洲,
记得,
嘉宾,
剪爱,
江南,
年轮,
念念,
空空,
哭砂,
例外,
凉凉,
破茧,
情歌,
旅行,
雀跃,
慢冷,
命运,
逆光,
忘情,
失眠,
泡沫,
偏见,
太多,
伊面,
天后,
天空,
人质,
如愿,
撒野,
受伤,
舍得,
舞娘,
唯一,
十年,
她说,
小半,
小小,
心动,
小雨,
山路,
旋转,
断定,
雪藏,
回声,
夜车,
阴天,
爱人呢,
爱太空,
安加桥,
半情歌,
壁上观,
不爱我,
不值得,
猜不透,
从前说,
达尔文,
到不了,
第一天,
董小姐,
都怪我,
独角戏,
读心术,
多情种,
九张机,
卷珠帘,
苏州河,
太空中,
小幸运,
笑忘书,
心之火,
星河叹,
我要你,
我知道,
喜欢你,
下雨天,
想自由,
园游会,
月下酒,
追光者,
爱的供养,
爱如潮水,
白色风车,
百年孤寂,
斑马斑马,
半句再见,
别来无恙,
不愿懂得,
残酷月光,
匆匆那年,
到此为止,
第三人称,
电台情歌,
独家记忆,
反覆记号,
放逐爱情,
飞云之下,
分手快乐,
告白气球,
孤单心事,
故事还长,
好不容易,
好久不见,
黑色毛衣,
后会无期,
忽然之间,
几分之几,
寂寞烟火,
来日方长,
浪漫血液,
连名带姓,
漠河舞厅,
你的香气,
你要的爱,
你在不在,
让她降落,
如果可以,
失落沙洲,
诗人漫步,
时间煮雨,
说了再见,
岁月神偷,
特别的人,
天若有情,
天天想你,
我爱的人,
我的美丽,
我还想她,
我好想你,
最后一页,
我怀念的,
喜欢寂寞,
幸福太短,
修炼爱情,
神手旁观,
眼泪成诗,
夜夜夜夜,
阴天快乐,
右手戒指,
云烟成雨,
长腿叔叔,
只能勇敢,
红色高跟鞋,
回忆的沙漏,
爱的回归线,
爱要怎么才说出口,
背对背拥抱,
别找我麻烦,
彩虹的微笑,
当爱在靠近,
当冬夜渐暖,
冬天的秘密,
蓝色的好友,
会呼吸的痛,
会开花的云,
寂寞的季节,
寂寞沙洲冷,
寂寞在唱歌,
可惜不是你,
可惜没如果,
离别开出花,
零度的亲吻,
旅行的意义,
旅行中忘记,
明天的记忆,
你给我听好,
陪我看日出,
日落计数器,
如果爱忘了,
如果爱下去,
如果没有你,
尚好的青春,
少一点天分,
盛夏的果实,
外面的世界,
隐隐的幸福,
我们的明天,
我最亲爱的,
喜欢两个人,
下完这场雨,
下一个天亮,
想念拟人化,
一个人失忆,
一时的选择,
一万次悲伤,
一直很安静,
遗失的美好,
有一种悲伤,
在你的身边,
怎么唱情歌,
至少还有你,
走过咖啡屋,
最初的记忆,
阿拉斯加海湾,
爱过你这件事,
北极星的眼泪,
贝多芬的悲伤,
不流泪的机场,
不能说的秘密,
不是我不明白,
第一次爱的人,
风吹过八千里,
寂寞的人唱歌,
离开我的依赖,
那女孩对我说,
你不知道的事,
你是我的风景,
你一定要幸福,
你在终点等我,
柠檬草的味道,
去有风的地方,
让悲伤去流浪,
如果你也听说,
十万毫升泪水,
忘了我也不错,
我不要再难过,
我真的受伤了,
幸福不是情歌,
幸福了然后呢,
阳光下的星星,
永不失联的爱,
这条小鱼在乎,
走不出的回忆,
爱我不要丢下我,
不要忘记我爱你,
多远都要在一起,
给电影人的情书,
莫斯科没有眼泪,
你就不要想起我,
去看星星好不好,
全世界谁倾听你,
听见下雨的声音,
我落泪情绪零碎,
我知道你很难过,
现在那边是几点,
月亮代表我的心,
在月蚀里抱紧我,
这世界那么多人,
不要了也是一种爱,
分手后不要做朋友,
给我一个理由忘记,
刻在我心底的名字,
那年夏天宁静的海,
那些很冒险的梦,
你不是真正的快乐,
一个人想着一个人,
在加纳共和国离婚,
爱上你等于爱上寂寞,
就让这大雨全都落下,
下一次爱情来的时候,
住在无趣的那个家里,
我不是傻傻那么勇敢,
亲爱的你怎么不在我身边,
Dear D,
Go Bye!,
A.I.N.Y.,
7-11的爱恋,
After 17,
Letting Go,
Melody,
Baby Song,
Bad Boy,
Dear Friend,
